env,method,seed,timestep,return,ep_length
car_flag,cgf,2,560000,-0.5575000000000001,36.75
car_flag,cgf,2,580000,-0.35899999999999993,36.9
car_flag,cgf,2,600000,-0.653,36.3
car_flag,cgf,2,620000,-0.7595000000000001,36.95
car_flag,cgf,2,640000,-0.34950000000000003,35.95
car_flag,cgf,2,660000,-0.45699999999999996,36.7
car_flag,cgf,2,680000,-0.15599999999999997,36.6
car_flag,cgf,2,700000,-0.15400000000000003,36.4
car_flag,cgf,2,720000,-0.15400000000000003,36.4
car_flag,cgf,2,740000,-0.759,36.9
car_flag,cgf,2,760000,-0.352,36.2
car_flag,cgf,2,780000,-0.261,37.1
car_flag,cgf,2,800000,-0.4509999999999999,36.1
car_flag,cgf,2,820000,-0.3635,37.35
car_flag,cgf,2,840000,-0.3555,36.55
car_flag,cgf,2,860000,-0.2615,37.15
car_flag,cgf,2,880000,-0.2515,36.15
car_flag,cgf,2,900000,-0.05249999999999999,36.25
car_flag,cgf,2,920000,0.04449999999999998,36.55
car_flag,cgf,2,940000,-0.35700000000000004,36.7
car_flag,cgf,2,960000,-0.15850000000000006,36.85
car_flag,cgf,2,980000,-0.6600000000000001,37.0
car_flag,cgf,2,1000000,-0.7604999999999998,37.05
car_flag,cgf,3,20000,-1.157,136.7
car_flag,cgf,3,40000,-0.7855000000000001,89.55
car_flag,cgf,3,60000,-0.413,62.3
car_flag,cgf,3,80000,-0.32199999999999995,53.2
car_flag,cgf,3,100000,0.05349999999999996,45.65
car_flag,cgf,3,120000,0.2869999999999999,42.3
car_flag,cgf,3,140000,0.16299999999999998,44.7
car_flag,cgf,3,160000,0.008500000000000008,50.15
car_flag,cgf,3,180000,0.04999999999999999,46.0
car_flag,cgf,3,200000,-0.04649999999999998,45.65
car_flag,cgf,3,220000,0.39350000000000007,51.65
car_flag,cgf,3,240000,0.11399999999999999,39.6
car_flag,cgf,3,260000,0.3745,43.55
car_flag,cgf,3,280000,0.191,51.9
car_flag,cgf,3,300000,0.3515,45.85
car_flag,cgf,3,320000,-0.16350000000000003,47.35
car_flag,cgf,3,340000,-0.027500000000000007,43.75
car_flag,cgf,3,360000,0.195,41.5
car_flag,cgf,3,380000,0.3355,47.45
car_flag,cgf,3,400000,0.39799999999999996,51.2
car_flag,cgf,3,420000,-0.013000000000000012,52.3
car_flag,cgf,3,440000,0.09849999999999999,51.15
car_flag,cgf,3,460000,-0.0935,50.35
car_flag,cgf,3,480000,0.045,56.5
